ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
853630;C115_G2;;car;black;1665269364340;1665269364560;368.59;368.59;368.59;;0.22;0.00
853643;C115_G2;;car;silver;1665269382180;1665269382560;414.21;382.84;459.03;;0.34;0.00
853721;C115_G2;;bus;yellow;1665269463120;1665269465550;138.35;138.35;138.35;;2.43;2.43
853774;C115_G2;;light;white;1665269525260;1665269525640;279.60;273.17;297.59;;0.38;0.00
853808;C115_G2;;car;black;1665269571120;1665269571360;351.24;341.86;379.40;;0.24;0.00
854306;C115_G2;;car;red;1665270012840;1665270019520;72.20;60.31;102.35;;6.68;6.68
854359;C115_G2;;car;blue;1665270050380;1665270050860;284.26;251.10;328.02;;0.48;0.00
854370;C115_G2;;car;black;1665270085100;1665270085460;325.26;325.26;325.26;;0.36;0.00
854381;C115_G2;;car;silver;1665270091580;1665270092000;411.48;381.96;441.32;;0.42;0.00
854407;C115_G2;;car;red;1665270117980;1665270118260;346.93;346.93;346.93;;0.28;0.00
854443;C115_G2;;car;silver;1665270158520;1665270158860;384.55;384.55;384.55;;0.34;0.00
854640;C115_G2;;car;red;1665270321040;1665270321220;411.16;411.16;411.16;;0.18;0.00
854647;C115_G2;;car;silver;1665270324080;1665270324600;404.84;375.82;429.71;;0.52;0.00
854680;C115_G2;;car;black;1665270354080;1665270354520;358.52;342.70;402.02;;0.30;0.00
854716;C115_G2;;car;black;1665270419940;1665270420400;413.00;388.52;448.37;;0.44;0.00
854721;C115_G2;;car;red;1665270423720;1665270424100;428.02;398.63;470.01;;0.34;0.00
854800;C115_G2;;car;white;1665270474380;1665270475020;320.69;300.29;385.29;;0.50;0.00
854802;C115_G2;;car;yellow;1665270478060;1665270478540;376.61;335.76;433.79;;0.48;0.00
855307;C115_G2;;car;blue;1665270966900;1665270967200;274.68;274.68;274.68;;0.30;0.00
855309;C115_G2;;car;black;1665270970100;1665270970320;298.77;298.77;298.77;;0.22;0.00
855339;C115_G2;;car;black;1665271005800;1665271006420;257.16;236.04;280.39;;0.42;0.00
855528;C115_G2;;car;blue;1665271277720;1665271278480;310.73;298.30;358.41;;0.58;0.00
855644;C115_G2;;car;black;1665271417140;1665271417480;440.24;440.24;440.24;;0.34;0.00
855686;C115_G2;;car;white;1665271455760;1665271456240;329.37;318.68;393.47;;0.28;0.00
855723;C115_G2;;car;blue;1665271492940;1665271493440;340.68;334.31;423.41;;0.28;0.00
855742;C115_G2;;car;red;1665271510340;1665271510820;409.90;373.07;461.37;;0.48;0.00
855865;C115_G2;;car;black;1665271679260;1665271679780;302.63;289.37;315.90;;0.52;0.00
855897;C115_G2;;car;blue;1665271724980;1665271725200;389.82;389.82;389.82;;0.22;0.00
855923;C115_G2;;bus;blue;1665271765010;1665271765340;353.89;333.24;381.41;;0.21;0.21
856286;C115_G2;;car;silver;1665272215220;1665272215600;393.52;382.24;422.84;;0.36;0.00
856288;C115_G2;;car;black;1665272218600;1665272218900;330.84;330.84;330.84;;0.30;0.00
856321;C115_G2;;car;blue;1665272267340;1665272267940;248.12;245.66;250.58;;0.60;0.60
856638;C115_G2;;car;black;1665272672500;1665272672640;322.18;322.18;322.18;;0.14;0.00
856720;C115_G2;;car;blue;1665272858240;1665272858300;504.00;504.00;504.00;;0.06;0.00
856721;C115_G2;;car;red;1665272861180;1665272861400;316.18;316.18;316.18;;0.22;0.00
856813;C115_G2;;car;black;1665272963660;1665272964040;341.00;322.91;385.74;;0.38;0.00
856820;C115_G2;;car;black;1665272966860;1665272966880;387.21;387.21;387.21;;0.02;0.00
856979;C115_G2;;car;yellow;1665273280080;1665273280600;302.42;282.98;393.14;;0.34;0.00
857070;C115_G2;;car;black;1665273460960;1665273461140;475.54;463.37;495.81;;0.16;0.00
857103;C115_G2;;car;black;1665273521380;1665273521820;305.93;305.38;314.72;;0.34;0.00
857149;C115_G2;;car;silver;1665273595760;1665273596180;470.40;398.87;523.20;;0.42;0.00
857477;C115_G2;;car;undefined;1665274073920;1665274074360;328.74;300.95;351.91;;0.44;0.00
857502;C115_G2;;car;white;1665274112680;1665274112980;326.31;326.31;326.31;;0.30;0.00
857514;C115_G2;;light;undefined;1665274130800;1665274131340;318.89;302.59;371.05;;0.42;0.00
857531;C115_G2;;car;red;1665274144580;1665274145060;353.50;341.08;371.44;;0.44;0.00
857710;C115_G2;;car;black;1665274389620;1665274389680;420.59;420.59;420.59;;0.06;0.00
857760;C115_G2;;car;silver;1665274451460;1665274451940;337.72;332.19;370.91;;0.28;0.00
858425;C115_G2;;car;silver;1665275792140;1665275792560;406.50;388.78;503.96;;0.26;0.00
858449;C115_G2;;car;red;1665275922080;1665275922100;414.36;414.36;414.36;;0.02;0.00
858500;C115_G2;;car;red;1665276094980;1665276095480;161.27;161.27;161.27;;0.50;0.00
858521;C115_G2;;car;black;1665276147900;1665276149030;83.45;74.13;99.19;;1.13;0.71
858552;C115_G2;;car;red;1665276254600;1665276254960;334.31;320.58;359.01;;0.28;0.00
858879;C115_G2;;car;red;1665277845900;1665277846180;280.97;280.97;280.97;;0.28;0.00
