ID;;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s;;
719261;231;C115_G1;;car;white;1665236081040;1665236081060;498.59;498.59;498.59;;0.02;0.00;;
719306;45;C115_G1;;car;black;1665236086500;1665236086640;481.36;473.59;487.19;;0.14;0.00;;
719411;105;C115_G1;;car;black;1665236105340;1665236105360;357.65;357.65;357.65;;0.02;0.00;;
719495;84;C115_G1;;car;black;1665236126660;1665236126700;648.50;648.50;648.50;;0.04;0.00;;
719673;178;C115_G1;;light;white;1665236171060;1665236171260;347.92;347.92;347.92;;0.20;0.00;;
719697;24;C115_G1;;car;black;1665236177160;1665236177280;327.85;317.44;333.05;;0.12;0.00;;
720061;364;C115_G1;;car;silver;1665236241280;1665236241340;488.72;488.72;488.72;;0.06;0.00;;
720116;55;C115_G1;;car;black;1665236250440;1665236250460;491.38;491.38;491.38;;0.02;0.00;;
720475;359;C115_G1;;car;white;1665236322880;1665236322920;356.71;356.71;356.71;;0.04;0.00;;
720526;51;C115_G1;;car;black;1665236336060;1665236336300;361.34;358.06;362.98;;0.24;0.00;;
720630;104;C115_G1;;car;black;1665236357940;1665236357960;432.30;432.30;432.30;;0.02;0.00;;
721765;1135;C115_G1;;car;white;1665236540140;1665236540180;324.44;324.44;324.44;;0.04;0.00;;
721827;62;C115_G1;;car;black;1665236546640;1665236546700;428.41;428.41;428.41;;0.06;0.00;;
722371;544;C115_G1;;car;black;1665236648540;1665236648660;450.25;450.25;450.25;;0.12;0.00;;
722454;83;C115_G1;;car;black;1665236665720;1665236665880;405.65;403.99;417.31;;0.16;0.00;;
722530;76;C115_G1;;car;black;1665236671680;1665236671820;437.97;437.97;437.97;;0.14;0.00;;
722683;153;C115_G1;;car;white;1665236688840;1665236689020;526.77;518.63;533.27;;0.18;0.00;;
722887;204;C115_G1;;car;silver;1665236721940;1665236722080;355.51;349.97;369.37;;0.14;0.00;;
723023;136;C115_G1;;car;silver;1665236751280;1665236751500;382.28;382.28;382.28;;0.22;0.00;;
723046;23;C115_G1;;car;silver;1665236760740;1665236760880;478.03;476.59;486.66;;0.14;0.00;;
723700;654;C115_G1;;car;black;1665236881740;1665236881880;485.55;485.55;485.55;;0.14;0.00;;
723708;8;C115_G1;;car;white;1665236884220;1665236884500;464.82;452.88;473.77;;0.28;0.00;;
723882;174;C115_G1;;car;black;1665236918800;1665236918960;364.85;364.58;366.71;;0.16;0.00;;
723920;38;C115_G1;;car;white;1665236923980;1665236924100;444.33;444.33;444.33;;0.12;0.00;;
723930;10;C115_G1;;car;red;1665236926120;1665236926280;464.92;464.92;464.92;;0.16;0.00;;
724100;170;C115_G1;;car;silver;1665236964280;1665236964400;453.73;453.73;453.73;;0.12;0.00;;
724249;149;C115_G1;;car;white;1665236985380;1665236985500;619.09;619.09;619.09;;0.12;0.00;;
724392;143;C115_G1;;car;black;1665237015160;1665237015220;554.42;554.42;554.42;;0.06;0.00;;
724453;61;C115_G1;;car;black;1665237030400;1665237030520;514.84;514.84;514.84;;0.12;0.00;;
724653;200;C115_G1;;car;black;1665237061660;1665237061840;419.87;416.66;421.48;;0.18;0.00;;
724702;49;C115_G1;;car;silver;1665237074080;1665237074240;325.44;325.44;325.44;;0.16;0.00;;
724852;150;C115_G1;;car;white;1665237088860;1665237088900;441.38;441.38;441.38;;0.04;0.00;;
725335;483;C115_G1;;car;white;1665237182100;1665237182300;390.14;390.14;390.14;;0.20;0.00;;
725541;206;C115_G1;;car;white;1665237214260;1665237214400;610.34;591.19;617.99;;0.14;0.00;;
725694;153;C115_G1;;car;black;1665237236380;1665237236540;449.91;446.73;453.09;;0.16;0.00;;
725770;76;C115_G1;;car;black;1665237252540;1665237252820;204.76;179.27;209.01;;0.28;0.00;;
725834;64;C115_G1;;car;black;1665237264060;1665237264260;508.53;508.53;508.53;;0.20;0.00;;
726315;481;C115_G1;;car;white;1665237368280;1665237368440;412.53;412.53;412.53;;0.16;0.00;;
726569;254;C115_G1;;car;black;1665237419220;1665237419380;381.67;381.67;381.67;;0.16;0.00;;
726581;12;C115_G1;;car;silver;1665237422920;1665237423100;471.15;457.95;472.80;;0.18;0.00;;
726733;152;C115_G1;;car;black;1665237454040;1665237454220;402.40;398.44;407.34;;0.18;0.00;;
727563;830;C115_G1;;car;white;1665237564540;1665237564580;258.95;258.95;258.95;;0.04;0.00;;
727586;23;C115_G1;;car;silver;1665237572740;1665237572820;261.25;261.25;261.25;;0.08;0.00;;
727921;335;C115_G1;;car;white;1665237640280;1665237640740;190.69;173.67;191.46;;0.46;0.00;;
728404;483;C115_G1;;car;black;1665237721780;1665237721880;380.76;380.76;380.76;;0.10;0.00;;
729045;641;C115_G1;;car;white;1665237818500;1665237818760;331.97;326.46;340.79;;0.26;0.00;;
729261;216;C115_G1;;car;silver;1665237851060;1665237851120;263.49;263.49;263.49;;0.06;0.00;;
