ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
899815;C115_G4;;car;silver;1665319056260;1665319056340;820.07;820.07;820.07;;0.08;0.00
901336;C115_G4;;car;white;1665320022480;1665320022540;878.01;878.01;878.01;;0.06;0.00
901851;C115_G4;;car;silver;1665320362640;1665320362740;774.06;774.06;774.06;;0.10;0.00
904177;C115_G4;;car;black;1665321884320;1665321884400;727.63;727.63;727.63;;0.08;0.00
905084;C115_G4;;car;white;1665322571680;1665322571740;947.95;947.95;947.95;;0.06;0.00
907653;C115_G4;;car;silver;1665324072360;1665324072440;848.37;848.37;848.37;;0.08;0.00
908033;C115_G4;;car;black;1665324285380;1665324285440;1045.58;1045.58;1045.58;;0.06;0.00
908306;C115_G4;;car;white;1665324377420;1665324377520;759.89;759.89;759.89;;0.10;0.00
909519;C115_G4;;car;white;1665324805620;1665324805720;712.79;712.79;712.79;;0.10;0.00
911856;C115_G4;;car;black;1665325988720;1665325988800;844.18;844.18;844.18;;0.08;0.00
912459;C115_G4;;car;white;1665326244500;1665326244560;971.87;971.87;971.87;;0.06;0.00
914708;C115_G4;;car;black;1665327087960;1665327088060;823.24;823.24;823.24;;0.10;0.00
915412;C115_G4;;car;black;1665327318660;1665327318740;849.00;849.00;849.00;;0.08;0.00
915428;C115_G4;;car;white;1665327323600;1665327323680;971.47;971.47;971.47;;0.08;0.00
916190;C115_G4;;car;silver;1665327618260;1665327618420;853.40;853.39;853.41;;0.16;0.00
919304;C115_G4;;car;silver;1665328859400;1665328859480;763.53;763.53;763.53;;0.08;0.00
919758;C115_G4;;car;red;1665329058400;1665329058520;574.49;574.49;574.49;;0.12;0.00
920368;C115_G4;;car;silver;1665329383920;1665329384000;842.51;842.51;842.51;;0.08;0.00
921349;C115_G4;;car;silver;1665329958540;1665329958640;813.54;813.54;813.54;;0.10;0.00
921605;C115_G4;;car;white;1665330108760;1665330108840;811.12;811.12;811.12;;0.08;0.00
924526;C115_G4;;car;silver;1665331837940;1665331838000;1133.99;1133.99;1133.99;;0.06;0.00
925681;C115_G4;;car;white;1665332533100;1665332533200;667.56;667.56;667.56;;0.10;0.00
926056;C115_G4;;car;white;1665332675300;1665332675380;880.48;880.48;880.48;;0.08;0.00
927278;C115_G4;;car;silver;1665333213920;1665333214020;767.29;767.29;767.29;;0.10;0.00
929121;C115_G4;;car;silver;1665334394580;1665334394660;758.58;758.58;758.58;;0.08;0.00
930310;C115_G4;;car;white;1665335092660;1665335092760;766.46;766.46;766.46;;0.10;0.00
930629;C115_G4;;car;silver;1665335330880;1665335330960;925.10;925.10;925.10;;0.08;0.00
932084;C115_G4;;car;silver;1665336417540;1665336417640;793.20;793.20;793.20;;0.10;0.00
933654;C115_G4;;car;silver;1665337441280;1665337441440;884.83;884.83;884.83;;0.16;0.00
933659;C115_G4;;car;blue;1665337443020;1665337443120;747.01;747.01;747.01;;0.10;0.00
935389;C115_G4;;car;undefined;1665338739860;1665338740040;728.42;723.16;734.99;;0.18;0.00
935549;C115_G4;;car;black;1665338882700;1665338882780;880.35;880.35;880.35;;0.08;0.00
937520;C115_G4;;car;undefined;1665340281260;1665340281340;882.50;882.50;882.50;;0.08;0.00
937920;C115_G4;;car;silver;1665340536800;1665340536900;758.26;758.26;758.26;;0.10;0.00
1371709;C115_G4;;car;silver;1665845120660;1665845120720;1095.75;1095.75;1095.75;;0.06;0.00
1389794;C115_G4;;car;silver;1665891115120;1665891115200;1543.56;1543.56;1543.56;;0.06;0.00
1389916;C115_G4;;car;silver;1665891472460;1665891472500;1347.37;1347.37;1347.37;;0.04;0.00
1390257;C115_G4;;car;silver;1665891955140;1665891955200;1330.58;1330.58;1330.58;;0.06;0.00
1390859;C115_G4;;car;black;1665892776000;1665892776060;1052.14;1052.14;1052.14;;0.06;0.00
1392440;C115_G4;;car;silver;1665893883400;1665893883440;1699.05;1699.05;1699.05;;0.04;0.00
1393805;C115_G4;;car;blue;1665896084600;1665896084660;945.76;945.76;945.76;;0.06;0.00
1394006;C115_G4;;car;blue;1665896807640;1665896807740;1410.46;1405.36;1413.86;;0.10;0.00
1394128;C115_G4;;car;blue;1665896937260;1665896937340;1175.84;1175.84;1175.84;;0.08;0.00
1394716;C115_G4;;car;blue;1665897428500;1665897428540;1456.45;1456.45;1456.45;;0.04;0.00
1395118;C115_G4;;car;silver;1665897735860;1665897735900;1261.12;1261.12;1261.12;;0.04;0.00
1396449;C115_G4;;light;yellow;1665898719780;1665898719820;1256.71;1256.71;1256.71;;0.04;0.00
1396750;C115_G4;;car;yellow;1665899160620;1665899160680;1094.95;1094.95;1094.95;;0.06;0.00
1397812;C115_G4;;car;black;1665900250920;1665900250980;1130.82;1130.82;1130.82;;0.06;0.00
1398139;C115_G4;;car;black;1665900414760;1665900414800;1387.35;1387.35;1387.35;;0.04;0.00
1398298;C115_G4;;car;silver;1665900505420;1665900505460;1503.06;1503.06;1503.06;;0.04;0.00
1398827;C115_G4;;car;silver;1665901397560;1665901397620;1062.71;1061.47;1065.17;;0.06;0.00
1398837;C115_G4;;car;white;1665901404760;1665901404840;1029.95;1029.95;1029.95;;0.08;0.00
1398841;C115_G4;;car;blue;1665901407520;1665901407580;1070.30;1070.30;1070.30;;0.06;0.00
1399128;C115_G4;;car;silver;1665901848780;1665901848820;1172.86;1172.86;1172.86;;0.04;0.00
1399211;C115_G4;;car;silver;1665901977920;1665901977980;1082.36;1082.36;1082.36;;0.06;0.00
1399304;C115_G4;;car;white;1665902195280;1665902195360;1081.61;1081.61;1081.61;;0.08;0.00
1399347;C115_G4;;car;black;1665902402460;1665902402500;1389.50;1389.50;1389.50;;0.04;0.00
1399434;C115_G4;;car;black;1665902701540;1665902701600;1366.30;1366.30;1366.30;;0.06;0.00
1399953;C115_G4;;car;silver;1665903334340;1665903334400;1175.02;1175.02;1175.02;;0.06;0.00
1400509;C115_G4;;car;silver;1665903749520;1665903749580;1091.23;1091.23;1091.23;;0.06;0.00
1402195;C115_G4;;car;white;1665904619520;1665904619580;1297.56;1297.56;1297.56;;0.06;0.00
1403609;C115_G4;;light;white;1665905266340;1665905266480;1044.21;1039.64;1050.31;;0.14;0.00
1405484;C115_G4;;car;black;1665906018120;1665906018240;1166.84;1158.25;1175.43;;0.12;0.00
1410927;C115_G4;;car;white;1665908320280;1665908320420;1031.63;1030.61;1033.00;;0.14;0.00
1415734;C115_G4;;car;white;1665909953520;1665909953560;1415.12;1415.12;1415.12;;0.04;0.00
1419436;C115_G4;;car;white;1665911054840;1665911054880;1203.29;1203.29;1203.29;;0.04;0.00
1422495;C115_G4;;car;white;1665911895620;1665911895680;1110.49;1110.49;1110.49;;0.06;0.00
1422599;C115_G4;;car;silver;1665911941940;1665911942000;1286.77;1286.77;1286.77;;0.06;0.00
1422623;C115_G4;;car;silver;1665911953400;1665911953520;1314.86;1304.92;1324.80;;0.12;0.00
1424144;C115_G4;;car;white;1665912410540;1665912410620;981.14;981.14;981.14;;0.08;0.00
1430851;C115_G4;;car;silver;1665914566720;1665914566780;1214.18;1214.18;1214.18;;0.06;0.00
1432047;C115_G4;;car;white;1665914928760;1665914928860;903.46;903.46;903.46;;0.10;0.00
1432680;C115_G4;;car;white;1665915124740;1665915124860;929.92;929.92;929.92;;0.12;0.00
1435743;C115_G4;;car;white;1665916033820;1665916033900;1061.18;1061.18;1061.18;;0.08;0.00
1436526;C115_G4;;car;black;1665916389760;1665916389900;1000.12;999.91;1000.28;;0.14;0.00
1437082;C115_G4;;car;white;1665916562720;1665916562780;995.89;995.89;995.89;;0.06;0.00
1437125;C115_G4;;car;white;1665916595780;1665916595840;1115.80;1115.80;1115.80;;0.06;0.00
1437297;C115_G4;;car;black;1665916651860;1665916651980;1110.67;1104.76;1116.58;;0.12;0.00
1437365;C115_G4;;car;red;1665916680520;1665916680580;1055.30;1055.30;1055.30;;0.06;0.00
1437668;C115_G4;;car;black;1665916788880;1665916788940;1175.85;1175.85;1175.85;;0.06;0.00
1437960;C115_G4;;car;white;1665916911060;1665916911120;1048.79;1048.79;1048.79;;0.06;0.00
1438809;C115_G4;;car;silver;1665917307260;1665917307320;1176.97;1176.97;1176.97;;0.06;0.00
1439131;C115_G4;;car;black;1665917418120;1665917418200;986.40;986.40;986.40;;0.08;0.00
1440411;C115_G4;;car;silver;1665917877520;1665917877580;1146.11;1146.11;1146.11;;0.06;0.00
1440537;C115_G4;;car;silver;1665917929380;1665917929460;1063.52;1063.52;1063.52;;0.08;0.00
1440559;C115_G4;;car;silver;1665917936100;1665917936160;1147.42;1147.42;1147.42;;0.06;0.00
1440573;C115_G4;;car;black;1665917939060;1665917939200;986.06;986.00;986.13;;0.14;0.00
1441507;C115_G4;;car;white;1665918180080;1665918180140;986.90;986.90;986.90;;0.06;0.00
1441624;C115_G4;;car;silver;1665918232300;1665918232360;1052.05;1052.05;1052.05;;0.06;0.00
1441688;C115_G4;;car;black;1665918264080;1665918264140;1003.73;1003.73;1003.73;;0.06;0.00
1441974;C115_G4;;car;white;1665918355020;1665918355100;978.05;978.05;978.05;;0.08;0.00
1442039;C115_G4;;car;silver;1665918380420;1665918380560;986.77;985.30;987.86;;0.14;0.00
1442365;C115_G4;;car;black;1665918539520;1665918539680;963.00;957.64;968.36;;0.16;0.00
1442395;C115_G4;;car;silver;1665918545260;1665918545340;991.20;991.20;991.20;;0.08;0.00
1442507;C115_G4;;car;black;1665918577560;1665918577700;1006.07;1003.32;1009.75;;0.14;0.00
1442522;C115_G4;;car;silver;1665918580460;1665918580540;909.44;909.44;909.44;;0.08;0.00
1442833;C115_G4;;car;black;1665918722080;1665918722220;993.35;988.36;1000.01;;0.14;0.00
1442836;C115_G4;;car;silver;1665918725140;1665918725220;850.11;850.11;850.11;;0.08;0.00
1442926;C115_G4;;car;silver;1665918770180;1665918770220;1025.99;1025.99;1025.99;;0.04;0.00
1442970;C115_G4;;car;silver;1665918793280;1665918793340;1006.53;1006.53;1006.53;;0.06;0.00
1443010;C115_G4;;car;white;1665918817220;1665918817280;1055.86;1055.86;1055.86;;0.06;0.00
1443112;C115_G4;;car;black;1665918872840;1665918872960;1069.33;1059.68;1076.70;;0.12;0.00
1443334;C115_G4;;car;white;1665918970280;1665918970340;1079.55;1079.55;1079.55;;0.06;0.00
1443404;C115_G4;;car;white;1665919011540;1665919011680;997.78;997.12;998.28;;0.14;0.00
1443411;C115_G4;;car;black;1665919013860;1665919014020;964.22;963.21;965.63;;0.16;0.00
1443425;C115_G4;;car;silver;1665919016540;1665919016600;1087.73;1087.73;1087.73;;0.06;0.00
1443539;C115_G4;;car;silver;1665919063940;1665919063980;1540.51;1540.51;1540.51;;0.04;0.00
