C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G4;1657205065620;1661209331140;119;931;38585;285;973;789;ok
C115_G4;1657205065620;1661209336240;119;931;38586;285;973;789;ok
C115_G4;1657205065620;1661209361400;119;931;38587;285;973;789;ok
C115_G4;1657205065620;1661209386560;119;931;38588;285;973;789;ok
C115_G4;1657205065620;1661209400840;119;931;38589;285;973;789;ok
C115_G4;1657205065620;1661209414100;119;931;38590;285;973;789;ok
C115_G4;1657205065620;1661209494340;119;931;38591;285;973;789;ok
C115_G4;1657205065620;1661209496720;119;931;38592;285;973;789;ok
C115_G4;1657205065620;1661209498760;119;931;38593;285;973;789;ok
C115_G4;1657205065620;1661209537180;119;931;38594;285;973;789;ok
C115_G4;1657205065620;1661209585460;119;932;38594;285;973;789;ok
C115_G4;1657205065620;1661209587160;119;933;38594;285;973;789;ok
C115_G4;1657205065620;1661209589880;119;933;38595;285;973;789;ok
C115_G4;1657205065620;1661209604840;119;933;38596;285;973;789;ok
C115_G4;1657205065620;1661209620820;119;933;38597;285;973;789;ok
C115_G4;1657205065620;1661209624560;119;933;38598;285;973;789;ok
C115_G4;1657205065620;1661209630000;119;933;38599;285;973;789;ok
C115_G4;1657205065620;1661209663660;119;933;38600;285;973;789;ok
C115_G4;1657205065620;1661209668760;119;933;38601;285;973;789;ok
C115_G4;1657205065620;1661209685420;119;933;38602;285;973;789;ok
C115_G4;1657205065620;1661209686780;119;933;38603;285;973;789;ok
C115_G4;1657205065620;1661209706500;119;933;38604;285;973;789;ok
C115_G4;1657205065620;1661209717040;119;933;38605;285;973;789;ok
C115_G4;1657205065620;1661209734720;119;933;38606;285;973;789;ok
C115_G4;1657205065620;1661209742540;119;933;38607;285;973;789;ok
C115_G4;1657205065620;1661209757840;119;933;38608;285;973;789;ok
C115_G4;1657205065620;1661209785400;119;933;38609;285;973;789;ok
C115_G4;1657205065620;1661209792540;119;933;38610;285;973;789;ok
